Weather_Key,Temperature,Precipitation,Condition
2025060100,11.6,0.0,Cloudy
2025060101,11.1,0.0,Cloudy
2025060102,10.7,0.0,Cloudy
2025060103,10.4,0.0,Cloudy
2025060104,10.1,0.0,Clear
2025060105,9.7,0.0,Clear
2025060106,9.6,0.0,Clear
2025060107,10.6,0.0,Clear
2025060108,12.1,0.0,Clear
2025060109,14.1,0.0,Cloudy
2025060110,15.1,0.0,Cloudy
2025060111,15.2,0.0,Cloudy
2025060112,16.5,0.0,Cloudy
2025060113,17.7,0.0,Cloudy
2025060114,18.4,0.0,Cloudy
2025060115,18.8,0.0,Cloudy
2025060116,18.0,0.0,Cloudy
2025060117,18.2,0.0,Cloudy
2025060118,18.4,0.0,Cloudy
2025060119,17.8,0.0,Cloudy
2025060120,16.4,0.0,Cloudy
2025060121,15.3,0.0,Cloudy
2025060122,14.6,0.0,Cloudy
2025060123,14.4,0.0,Cloudy
2025060200,13.3,0.0,Cloudy
2025060201,12.2,0.0,Cloudy
2025060202,11.4,0.0,Clear
2025060203,10.8,0.0,Clear
2025060204,10.4,0.0,Clear
2025060205,9.9,0.0,Clear
2025060206,9.9,0.0,Clear
2025060207,11.8,0.0,Clear
2025060208,13.8,0.0,Clear
2025060209,16.5,0.0,Clear
2025060210,17.7,0.0,Clear
2025060211,18.5,0.0,Clear
2025060212,19.5,0.0,Clear
2025060213,20.6,0.0,Cloudy
2025060214,21.2,0.0,Cloudy
2025060215,20.8,0.0,Cloudy
2025060216,21.6,0.0,Cloudy
2025060217,21.6,0.0,Cloudy
2025060218,21.4,0.0,Cloudy
2025060219,20.6,0.0,Cloudy
2025060220,17.5,0.0,Cloudy
2025060221,15.6,0.0,Clear
2025060222,15.4,0.0,Clear
2025060223,15.4,0.0,Clear
2025060300,14.6,0.0,Clear
2025060301,14.2,0.0,Clear
2025060302,13.4,0.0,Clear
2025060303,13.0,0.0,Clear
2025060304,12.3,0.0,Clear
2025060305,11.8,0.0,Clear
2025060306,11.4,0.0,Clear
2025060307,13.1,0.0,Clear
2025060308,15.5,0.0,Clear
2025060309,19.0,0.0,Clear
2025060310,21.6,0.0,Clear
2025060311,23.4,0.0,Clear
2025060312,24.8,0.0,Clear
2025060313,25.6,0.0,Clear
2025060314,26.4,0.0,Clear
2025060315,26.7,0.0,Clear
2025060316,26.8,0.0,Clear
2025060317,26.1,0.0,Clear
2025060318,24.5,0.0,Cloudy
2025060319,22.2,0.0,Cloudy
2025060320,20.5,0.0,Cloudy
2025060321,19.4,0.0,Clear
2025060322,19.0,0.0,Clear
2025060323,18.5,0.0,Clear
2025060400,17.8,0.0,Clear
2025060401,17.1,0.0,Clear
2025060402,16.4,0.0,Clear
2025060403,15.8,0.0,Clear
2025060404,15.1,0.0,Cloudy
2025060405,14.6,0.0,Cloudy
2025060406,14.6,0.0,Clear
2025060407,16.6,0.0,Cloudy
2025060408,18.9,0.0,Cloudy
2025060409,21.4,0.0,Cloudy
2025060410,24.3,0.0,Cloudy
2025060411,26.7,0.0,Cloudy
2025060412,28.0,0.0,Cloudy
2025060413,29.0,0.0,Cloudy
2025060414,29.8,0.0,Clear
2025060415,29.2,0.0,Clear
2025060416,27.9,0.0,Clear
